x,y
3.502627738153572636e+02,9.581520754131345541e+01
3.472407457776507727e+02,9.585538182824113562e+01
3.442187177399442248e+02,9.589555611516883005e+01
3.411966897022377339e+02,9.593573040209651026e+01
3.381746616645311860e+02,9.597590468902419047e+01
3.351526336268246951e+02,9.601607897595187069e+01
3.318313898648100349e+02,9.602440774824786729e+01
3.285101461027953746e+02,9.603273652054387810e+01
3.251889023407807144e+02,9.604106529283987470e+01
3.218676585787660542e+02,9.604939406513588551e+01
3.185464148167513940e+02,9.605772283743188211e+01
3.152251710547367338e+02,9.606605160972789292e+01
3.119039272927220736e+02,9.607438038202388952e+01
3.087727787920879337e+02,9.655042898380536087e+01
3.056416302914538505e+02,9.702647758558683222e+01
3.025104817908197674e+02,9.750252618736830357e+01
2.993793332901856274e+02,9.797857478914977492e+01
2.962481847895514875e+02,9.845462339093126047e+01
2.931170362889174044e+02,9.893067199271273182e+01
2.899858877882833212e+02,9.940672059449420317e+01
2.868547392876491813e+02,9.988276919627567452e+01
2.868316258427420280e+02,1.029723212465826663e+02
2.868085123978349316e+02,1.060618732968896580e+02
2.867853989529277783e+02,1.091514253471966356e+02
2.867622855080206818e+02,1.122409773975036273e+02
2.867391720631135286e+02,1.153305294478106191e+02
2.867160586182064321e+02,1.184200814981176109e+02
2.866929451732992788e+02,1.215096335484245884e+02
2.866698317283921824e+02,1.245991855987315802e+02
2.866467182834850291e+02,1.276887376490385719e+02
2.866236048385779327e+02,1.307782896993455495e+02
2.866004913936707794e+02,1.338678417496525412e+02
2.865773779487636830e+02,1.369573937999595330e+02
2.865542645038565297e+02,1.400469458502665248e+02
2.865239284298946814e+02,1.432320934490525701e+02
2.864935923559328330e+02,1.464172410478386155e+02
2.864632562819709278e+02,1.496023886466246609e+02
2.864329202080090795e+02,1.527875362454106778e+02
2.864025841340472311e+02,1.559726838441967232e+02
2.863722480600853260e+02,1.591578314429827685e+02
2.863419119861234776e+02,1.623429790417688139e+02
2.863115759121616293e+02,1.655281266405548593e+02
2.862812398381997809e+02,1.687132742393408762e+02
2.862509037642379326e+02,1.718984218381269216e+02
2.862205676902760274e+02,1.750835694369129669e+02
2.861902316163141791e+02,1.782687170356990123e+02
2.861593056698737314e+02,1.813854181773681375e+02
2.861283797234332837e+02,1.845021193190372628e+02
2.860974537769928361e+02,1.876188204607063881e+02
2.860665278305523316e+02,1.907355216023755133e+02
2.860356018841118839e+02,1.938522227440446670e+02
2.860046759376714363e+02,1.969689238857137923e+02
2.859737499912309886e+02,2.000856250273829176e+02
2.859428240447905409e+02,2.032023261690520428e+02
2.859213662157472413e+02,2.064104402056767924e+02
2.858999083867038848e+02,2.096185542423015136e+02
2.858784505576605852e+02,2.128266682789262632e+02
2.858569927286172287e+02,2.160347823155510127e+02
2.858355348995739291e+02,2.192428963521757339e+02
2.858140770705305727e+02,2.224510103888004835e+02
2.857926192414872730e+02,2.256591244254252047e+02
2.857711614124439734e+02,2.288672384620499543e+02
2.857497035834006169e+02,2.320753524986747038e+02
2.857282457543573173e+02,2.352834665352994534e+02
2.857067879253139608e+02,2.384915805719241746e+02
2.856853300962706612e+02,2.416996946085489242e+02
2.856638722672273047e+02,2.449078086451736453e+02
2.856424144381840051e+02,2.481159226817983949e+02
2.855221956973400097e+02,2.511779372252152314e+02
2.854019769564960711e+02,2.542399517686320678e+02
2.852817582156520757e+02,2.573019663120488758e+02
2.851615394748080803e+02,2.603639808554657407e+02
2.850413207339640849e+02,2.634259953988826055e+02
2.849211019931201463e+02,2.664880099422994135e+02
2.848008832522761509e+02,2.695500244857162215e+02
2.846806645114321555e+02,2.726120390291330864e+02
2.845604457705882169e+02,2.756740535725499512e+02
2.844402270297442215e+02,2.787360681159667593e+02
2.830192701071262604e+02,2.815510591004906473e+02
2.815983131845083562e+02,2.843660500850145354e+02
2.801773562618903952e+02,2.871810410695384235e+02
2.787563993392724342e+02,2.899960320540622547e+02
2.773354424166545300e+02,2.928110230385861428e+02
2.759144854940365690e+02,2.956260140231100308e+02
2.726067600182178126e+02,2.968634477127914124e+02
2.692990345423991130e+02,2.981008814024727940e+02
2.659913090665803566e+02,2.993383150921541755e+02
2.626835835907616001e+02,3.005757487818355571e+02
2.596693415810183296e+02,3.006814152166723488e+02
2.566550995712750591e+02,3.007870816515090837e+02
2.536408575615318171e+02,3.008927480863458754e+02
2.506266155517885750e+02,3.009984145211826672e+02
2.476123735420453045e+02,3.011040809560194020e+02
2.445981315323020624e+02,3.012097473908561938e+02
2.415838895225587919e+02,3.013154138256929855e+02
2.385696475128155498e+02,3.014210802605297204e+02
2.355554055030722793e+02,3.015267466953665121e+02
2.325411634933290088e+02,3.016324131302032470e+02
2.295269214835857667e+02,3.017380795650400387e+02
2.265126794738424962e+02,3.018437459998768304e+02
2.234984374640992542e+02,3.019494124347135653e+02
2.204841954543559837e+02,3.020550788695503570e+02
2.174571618773536841e+02,3.021209203551605356e+02
2.144301283003514129e+02,3.021867618407707141e+02
2.114030947233491133e+02,3.022526033263808927e+02
2.083760611463468422e+02,3.023184448119910144e+02
2.053490275693445426e+02,3.023842862976011929e+02
2.023219939923422714e+02,3.024501277832113715e+02
1.992949604153399719e+02,3.025159692688215500e+02
1.957819228927412212e+02,3.030160487411615691e+02
1.922688853701424421e+02,3.035161282135016450e+02
1.887558478475436914e+02,3.040162076858416640e+02
1.859004632795039811e+02,3.063200746560834205e+02
1.830450787114642992e+02,3.086239416263251201e+02
1.801896941434245889e+02,3.109278085965668765e+02
1.790120432189772259e+02,3.139835917007343369e+02
1.778343922945298914e+02,3.170393748049017404e+02
1.766567413700825284e+02,3.200951579090692007e+02
1.754790904456351655e+02,3.231509410132366042e+02
1.743014395211878025e+02,3.262067241174040646e+02
1.731237885967404679e+02,3.292625072215714681e+02
1.719461376722931050e+02,3.323182903257389285e+02
1.721244140629420656e+02,3.355138874116604484e+02
1.723026904535910262e+02,3.387094844975820251e+02
1.724809668442400152e+02,3.419050815835035451e+02
1.726592432348889758e+02,3.451006786694250650e+02
1.728375196255379365e+02,3.482962757553466417e+02
1.730157960161868971e+02,3.514918728412681617e+02
1.758845638793122816e+02,3.534735029834554325e+02
1.787533317424376662e+02,3.554551331256427034e+02
1.816220996055630792e+02,3.574367632678300311e+02
1.844908674686884638e+02,3.594183934100173019e+02
1.873596353318138483e+02,3.614000235522045728e+02
1.904353823171480258e+02,3.615016779163142928e+02
1.935111293024822317e+02,3.616033322804240129e+02
1.965868762878164091e+02,3.617049866445337329e+02
1.996626232731506150e+02,3.618066410086434530e+02
2.027383702584847924e+02,3.619082953727531731e+02
2.058141172438189699e+02,3.620099497368628363e+02
2.088898642291531758e+02,3.621116041009725564e+02
2.119656112144873532e+02,3.622132584650822764e+02
2.150413581998215591e+02,3.623149128291919965e+02
2.181171051851557365e+02,3.624165671933017165e+02
2.214367381785322380e+02,3.623784177509494384e+02
2.247563711719087678e+02,3.623402683085971603e+02
2.280760041652852692e+02,3.623021188662448822e+02
2.313956371586617990e+02,3.622639694238926609e+02
2.347152701520383005e+02,3.622258199815403827e+02
2.380349031454148303e+02,3.621876705391881046e+02
2.413545361387913317e+02,3.621495210968358265e+02
2.443556123980192183e+02,3.622249827178247870e+02
2.473566886572471049e+02,3.623004443388137474e+02
2.503577649164749914e+02,3.623759059598027079e+02
2.533588411757029064e+02,3.624513675807916684e+02
2.563599174349307646e+02,3.625268292017806289e+02
2.593609936941586511e+02,3.626022908227695893e+02
2.623620699533865945e+02,3.626777524437584930e+02
2.653631462126144811e+02,3.627532140647474534e+02
2.683642224718423677e+02,3.628286756857364139e+02
2.713652987310702542e+02,3.629041373067253744e+02
2.743663749902981408e+02,3.629795989277143349e+02
2.773674512495260274e+02,3.630550605487032954e+02
2.803685275087539139e+02,3.631305221696922558e+02
2.836777920907794623e+02,3.632012606658678919e+02
2.869870566728049539e+02,3.632719991620434712e+02
2.902963212548305023e+02,3.633427376582191073e+02
2.936055858368559939e+02,3.634134761543947434e+02
2.969148504188815423e+02,3.634842146505703795e+02
3.002241150009070338e+02,3.635549531467459587e+02
3.035333795829325823e+02,3.636256916429215948e+02
3.066174354941218212e+02,3.636073946094657572e+02
3.097014914053110601e+02,3.635890975760098627e+02
3.127855473165002991e+02,3.635708005425540250e+02
3.158696032276895380e+02,3.635525035090981874e+02
3.189536591388787770e+02,3.635342064756423497e+02
3.220377150500680159e+02,3.635159094421864552e+02
3.251217709612572548e+02,3.634976124087306175e+02
3.282058268724464938e+02,3.634793153752747799e+02
3.312898827836357327e+02,3.634610183418189422e+02
3.343739386948249717e+02,3.634427213083630477e+02
3.374579946060142106e+02,3.634244242749072100e+02
3.405048144610115060e+02,3.633711754344060409e+02
3.435516343160088013e+02,3.633179265939049287e+02
3.465984541710060967e+02,3.632646777534037597e+02
3.496452740260033920e+02,3.632114289129026474e+02
3.526920938810006874e+02,3.631581800724014784e+02
3.557389137359979259e+02,3.631049312319003093e+02
3.587857335909952212e+02,3.630516823913991971e+02
3.618325534459925166e+02,3.629984335508980280e+02
3.648793733009898119e+02,3.629451847103969158e+02
3.679261931559871073e+02,3.628919358698957467e+02
3.709730130109844026e+02,3.628386870293946345e+02
3.740198328659816980e+02,3.627854381888934654e+02
3.773355850905655871e+02,3.627965497640025205e+02
3.806513373151495330e+02,3.628076613391116325e+02
3.839670895397334220e+02,3.628187729142206877e+02
3.872828417643173111e+02,3.628298844893297996e+02
3.905985939889012002e+02,3.628409960644388548e+02
3.939143462134851461e+02,3.628521076395479668e+02
3.972300984380690352e+02,3.628632192146570219e+02
4.002538247307323900e+02,3.629842997936774509e+02
4.032775510233957448e+02,3.631053803726978799e+02
4.063012773160590427e+02,3.632264609517183089e+02
4.093250036087223975e+02,3.633475415307387379e+02
4.123487299013857523e+02,3.634686221097591670e+02
4.153724561940491071e+02,3.635897026887795960e+02
4.183961824867124051e+02,3.637107832678000250e+02
4.214199087793757599e+02,3.638318638468203972e+02
4.244436350720391147e+02,3.639529444258408262e+02
4.274673613647024695e+02,3.640740250048612552e+02
4.304910876573658243e+02,3.641951055838816842e+02
4.335148139500291222e+02,3.643161861629021132e+02
4.365385402426924770e+02,3.644372667419225422e+02
4.395622665353558318e+02,3.645583473209429712e+02
4.425492874507167471e+02,3.649712049073226012e+02
4.455363083660776624e+02,3.653840624937022312e+02
4.485233292814385209e+02,3.657969200800818612e+02
4.515103501967994362e+02,3.662097776664615481e+02
4.544973711121603515e+02,3.666226352528411780e+02
4.574843920275212668e+02,3.670354928392208080e+02
4.604714129428821252e+02,3.674483504256004380e+02
4.634584338582430405e+02,3.678612080119800680e+02
4.664454547736039558e+02,3.682740655983596980e+02
4.694324756889648711e+02,3.686869231847393849e+02
4.724194966043257864e+02,3.690997807711190148e+02
4.754065175196866448e+02,3.695126383574986448e+02
4.783935384350475601e+02,3.699254959438782748e+02
4.815362924774690327e+02,3.692935810885010142e+02
4.846790465198905054e+02,3.686616662331237535e+02
4.878218005623119780e+02,3.680297513777464928e+02
4.909645546047334506e+02,3.673978365223692322e+02
