x,y
3.441707835305102208e+02,2.319726140515827808e+02
3.409734945523782130e+02,2.320449148165967870e+02
3.377762055742461484e+02,2.321172155816107932e+02
3.345789165961140839e+02,2.321895163466247709e+02
3.313816276179820193e+02,2.322618171116387771e+02
3.281843386398500115e+02,2.323341178766527833e+02
3.249870496617179469e+02,2.324064186416667894e+02
3.218745384996540793e+02,2.326586328112287561e+02
3.187620273375902116e+02,2.329108469807907227e+02
3.156495161755264007e+02,2.331630611503526609e+02
3.125370050134625330e+02,2.334152753199146275e+02
3.094244938513986654e+02,2.336674894894765941e+02
3.063119826893347977e+02,2.339197036590385608e+02
3.031994715272709300e+02,2.341719178286005274e+02
3.000869603652070623e+02,2.344241319981624940e+02
2.969744492031432515e+02,2.346763461677244322e+02
2.938619380410793838e+02,2.349285603372863989e+02
2.907494268790155161e+02,2.351807745068483655e+02
2.902164660718979121e+02,2.382330181064873500e+02
2.896835052647803082e+02,2.412852617061263345e+02
2.891505444576626473e+02,2.443375053057653190e+02
2.886175836505450434e+02,2.473897489054043035e+02
2.880846228434274394e+02,2.504419925050432880e+02
2.875516620363098355e+02,2.534942361046822725e+02
2.870187012291921747e+02,2.565464797043212570e+02
2.864857404220745707e+02,2.595987233039602415e+02
2.859527796149569667e+02,2.626509669035992260e+02
2.855280988962094852e+02,2.659195981314359756e+02
2.851034181774619469e+02,2.691882293592727251e+02
2.846787374587144654e+02,2.724568605871095315e+02
2.842540567399669271e+02,2.757254918149462810e+02
2.838293760212194456e+02,2.789941230427830305e+02
2.834046953024719642e+02,2.822627542706197801e+02
2.829800145837244258e+02,2.855313854984565296e+02
2.825553338649769444e+02,2.888000167262933360e+02
2.821306531462294060e+02,2.920686479541300855e+02
2.817059724274819246e+02,2.953372791819668350e+02
2.786487683422283794e+02,2.959102677556170988e+02
2.755915642569748911e+02,2.964832563292673626e+02
2.725343601717213460e+02,2.970562449029176264e+02
2.694771560864678008e+02,2.976292334765678902e+02
2.664199520012143125e+02,2.982022220502181540e+02
2.633627479159607674e+02,2.987752106238684746e+02
2.603055438307072222e+02,2.993481991975187384e+02
2.572483397454537339e+02,2.999211877711690022e+02
2.541911356602001888e+02,3.004941763448192660e+02
2.511339315749466437e+02,3.010671649184695298e+02
2.480767274896931269e+02,3.016401534921197936e+02
2.448649105286420138e+02,3.016891854179364145e+02
2.416530935675909006e+02,3.017382173437530355e+02
2.384412766065397875e+02,3.017872492695696565e+02
2.352294596454886744e+02,3.018362811953862774e+02
2.320176426844375612e+02,3.018853131212028984e+02
2.288058257233864481e+02,3.019343450470195194e+02
2.255940087623353349e+02,3.019833769728361403e+02
2.223821918012842218e+02,3.020324088986527613e+02
2.191703748402331087e+02,3.020814408244693823e+02
2.159585578791819955e+02,3.021304727502860032e+02
2.127467409181308824e+02,3.021795046761026242e+02
2.095349239570797693e+02,3.022285366019192452e+02
2.063231069960286561e+02,3.022775685277358662e+02
2.031112900349775430e+02,3.023266004535524871e+02
1.998512713504138674e+02,3.031890197965135485e+02
1.965912526658501633e+02,3.040514391394746099e+02
1.933312339812864593e+02,3.049138584824356712e+02
1.900712152967227837e+02,3.057762778253966758e+02
1.868111966121591081e+02,3.066386971683577372e+02
1.835511779275954041e+02,3.075011165113187985e+02
1.821688915196657206e+02,3.104405857647883522e+02
1.807866051117360655e+02,3.133800550182579059e+02
1.794043187038063820e+02,3.163195242717274596e+02
1.780220322958767269e+02,3.192589935251970701e+02
1.766397458879470435e+02,3.221984627786666238e+02
1.752574594800173884e+02,3.251379320321361774e+02
1.738751730720877049e+02,3.280774012856057311e+02
1.735113446425506822e+02,3.311069246325311610e+02
1.731475162130136880e+02,3.341364479794565909e+02
1.727836877834766938e+02,3.371659713263820208e+02
1.724198593539396711e+02,3.401954946733074507e+02
1.738385486612803845e+02,3.432211677000460668e+02
1.752572379686210979e+02,3.462468407267846828e+02
1.766759272759618398e+02,3.492725137535232989e+02
1.780946165833025532e+02,3.522981867802619149e+02
1.795133058906432666e+02,3.553238598070005310e+02
1.825845507441312918e+02,3.555091625532331250e+02
1.856557955976193170e+02,3.556944652994657758e+02
1.887270404511073707e+02,3.558797680456983699e+02
1.917982853045953959e+02,3.560650707919310207e+02
1.948695301580834212e+02,3.562503735381636147e+02
1.979407750115714464e+02,3.564356762843962656e+02
2.010120198650595000e+02,3.566209790306288596e+02
2.040832647185475253e+02,3.568062817768615105e+02
2.071545095720355505e+02,3.569915845230941045e+02
2.102257544255235757e+02,3.571768872693267554e+02
2.132969992790116294e+02,3.573621900155593494e+02
2.163682441324996546e+02,3.575474927617920002e+02
2.194394889859876798e+02,3.577327955080245943e+02
2.226091559363412387e+02,3.577437758747399812e+02
2.257788228866948259e+02,3.577547562414553113e+02
2.289484898370483847e+02,3.577657366081706982e+02
2.321181567874019436e+02,3.577767169748860283e+02
2.352878237377555308e+02,3.577876973416014152e+02
2.384574906881090897e+02,3.577986777083168022e+02
2.416271576384626485e+02,3.578096580750321323e+02
2.447968245888162357e+02,3.578206384417475192e+02
2.479664915391697946e+02,3.578316188084628493e+02
2.511361584895233534e+02,3.578425991751782362e+02
2.543058254398769122e+02,3.578535795418936232e+02
2.574754923902304995e+02,3.578645599086089533e+02
2.606451593405840867e+02,3.578755402753243402e+02
2.638148262909376172e+02,3.578865206420396703e+02
2.669844932412912044e+02,3.578975010087550572e+02
2.701252785491544728e+02,3.578948187037764228e+02
2.732660638570177412e+02,3.578921363987977884e+02
2.764068491648810664e+02,3.578894540938192108e+02
2.795476344727443347e+02,3.578867717888405764e+02
2.826884197806076031e+02,3.578840894838619420e+02
2.858292050884708715e+02,3.578814071788833076e+02
2.889699903963341967e+02,3.578787248739047300e+02
2.921107757041974651e+02,3.578760425689260956e+02
2.952515610120607334e+02,3.578733602639474611e+02
2.983923463199240018e+02,3.578706779589688267e+02
3.015331316277872702e+02,3.578679956539901923e+02
3.046739169356505954e+02,3.578653133490116147e+02
3.078147022435138638e+02,3.578626310440329803e+02
3.109554875513771321e+02,3.578599487390543459e+02
3.141746602432613713e+02,3.577626575189378286e+02
3.173938329351455536e+02,3.576653662988213114e+02
3.206130056270297928e+02,3.575680750787047941e+02
3.238321783189140319e+02,3.574707838585882769e+02
3.270513510107982711e+02,3.573734926384717596e+02
3.302705237026824534e+02,3.572762014183551855e+02
